Team Name,Points,Value,Season ,Position 
ManCity,98,1200,2018-19,1
Liverpool,97,1170,2018-19,2
Chelsea,72,1170,2018-19,3
Tottenham,71,898.6,2018-19,4
Arsenal,70,659.05,2018-19,5
ManUnited,66,797.6,2018-19,6
Wolves,57,302.9,2018-19,7
Everton,54,529.1,2018-19,8
Leicester,52,434.1,2018-19,9
WestHam,52,359,2018-19,10
Watford,50,239.1,2018-19,11
Palace,49,289,2018-19,12
Newcastle,45,244.65,2018-19,13
Bournemouth,45,309.95,2018-19,14
Burnley,40,197.25,2018-19,15
Southampton,39,305.4,2018-19,16
Brighton,36,194.35,2018-19,17
Cardiff,34,113,2018-19,18
Fulham,26,254.25,2018-19,19
Huddersfield,16,137.45,2018-19,20
ManCity,100,1010,2017-18,1
ManUnited,81,849.5,2017-18,2
Tottenham,77,829.6,2017-18,3
Liverpool,75,857.5,2017-18,4
Chelsea,70,884.25,2017-18,5
Arsenal,63,694,2017-18,6
Everton,49,381.25,2017-18,8
Leicester,47,304.25,2017-18,9
Newcastle,44,208.28,2017-18,10
Palace,44,220.73,2017-18,11
Bournemouth,44,144.5,2017-18,12
WestHam,42,260.6,2017-18,13
Watford,41,196,2017-18,14
Brighton,40,148.2,2017-18,15
Huddersfield,37,106.06,2017-18,16
Southampton,36,297,2017-18,17
Swansea,33,165.49,2017-18,18
Stoke,33,192.45,2017-18,19
WestBrom,31,165.95,2017-18,20
Chelsea,93,686.7,2016-17,1
Tottenham,86,543.65,2016-17,2
ManCity,78,606.7,2016-17,3
Liverpool,76,425.65,2016-17,4
Arsenal,75,542,2016-17,5
ManUnited,69,531.45,2016-17,6
Everton,61,311.25,2016-17,7
Southampton,46,263.75,2016-17,8
Bournemouth,46,131.6,2016-17,9
WestBrom,45,123.2,2016-17,10
WestHam,45,273.05,2016-17,11
Leicester,44,218.65,2016-17,12
Stoke,44,186,2016-17,13
Palace,41,228.43,2016-17,14
Swansea,41,157.1,2016-17,15
Burnley,40,107.18,2016-17,16
Watford,40,175.65,2016-17,17
Hull,34,135.85,2016-17,18
MiddlesB,28,128.8,2016-17,19
Sunderland,24,132,2016-17,20
Arsenal,71,457.85,2015-16,2
Tottenham,70,371.85,2015-16,3
ManCity,66,499.35,2015-16,4
ManUnited,66,439.85,2015-16,5
Southampton,63,225.5,2015-16,6
WestHam,62,201.33,2015-16,7
Liverpool,60,375.25,2015-16,8
Stoke,51,147,2015-16,9
Everton,47,249.85,2015-16,11
Swansea,47,145.8,2015-16,12
Watford,45,137,2015-16,13
WestBrom,43,113.1,2015-16,14
Palace,42,135.7,2015-16,15
Bournemouth,42,99.9,2015-16,16
Sunderland,39,111.25,2015-16,17
Newcastle,37,198,2015-16,18
Norwich,34,116.9,2015-16,19
Villa,17,117.95,2015-16,20
Chelsea,87,557.25,2014-15,1
ManCity,79,452.25,2014-15,2
Arsenal,75,419.25,2014-15,3
ManUnited,70,505.4,2014-15,4
Tottenham,64,304.15,2014-15,5
Liverpool,62,324.85,2014-15,6
Southampton,60,210.25,2014-15,7
Swansea,56,130.75,2014-15,8
Stoke,54,110.5,2014-15,9
Palace,48,97.25,2014-15,10
Everton,47,185.35,2014-15,11
WestHam,47,135.9,2014-15,12
WestBrom,44,95.95,2014-15,13
Leicester,41,66.7,2014-15,14
Newcastle,39,140,2014-15,15
Sunderland,38,91,2014-15,16
Villa,38,114.25,2014-15,17
Hull,35,117.1,2014-15,18
Burnley,33,52.55,2014-15,19
QPR,30,112.5,2014-15,20
ManCity,86,458.3,2013-14,1
Liverpool,84,315.75,2013-14,2
Chelsea,82,584.2,2013-14,3
Arsenal,79,385.75,2013-14,4
Everton,72,210,2013-14,5
Tottenham,69,288.95,2013-14,6
Southampton,56,131.5,2013-14,8
Stoke,50,104.7,2013-14,9
Newcastle,49,172.3,2013-14,10
Palace,45,68.7,2013-14,11
Swansea,42,128.93,2013-14,12
WestHam,40,109.5,2013-14,13
Sunderland,38,122,2013-14,14
Villa,38,109.5,2013-14,15
Hull,37,68.15,2013-14,16
WestBrom,36,90.8,2013-14,17
Norwich,33,89.3,2013-14,18
Fulham,32,112.65,2013-14,19
Cardiff,30,87.9,2013-14,20